sequence,offset,event,event_name,phase,phase_name,pid,tid,qpc,data_len,aux0,aux1,payload_sha256
1,0,1,INIT,0,NONE,1044,1008,42779489300,0,0,0,
2,52,50,PASSWORD,1,HEADER,1044,1008,42779581701,23,0,0,b2d394512f1584148eab99ecd992d8a7881c3dd1dfac8a6366aa4159a3d2c985
3,127,30,RANDGET_BEGIN,2,MASTER_RNG,1044,1008,42779581769,0,64,1,
4,179,31,RANDGET_POOL_PRE,2,MASTER_RNG,1044,1008,42779581803,640,0,0,9e132485d5107211de325a45e7917cbe3e4b5b9cde3e4ee91d7d2102317759ee
5,871,11,RANDADD_BUF,2,MASTER_RNG,1044,1008,42779582687,232,0,0,74493b729a5b5518635f89d0e835d91dbea458dd9f76076b58393b2cdcd75386
6,1155,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779582723,640,0,0,beae73bb59d5fd68d1153a18e07eeba7d3229e455c6f392326cef2d5c7586415
7,1847,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779584248,640,0,0,091fbe4f01965e64ae0ce5d6a0f3a38a052ec1a99c1924b5467a974958993d32
8,2539,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779584282,640,16,0,78a378494c88fbe9781b78a909e5411059804e4d4ad46b26a0dcf4fea7844b0a
9,3231,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779585792,640,16,0,79d135ba09dee6eb780b1ce911d3ddf0563b2ad3029306e4620720d1dc059746
10,3923,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779585826,640,32,0,79d135ba09dee6eb780b1ce911d3ddf0563b2ad3029306e4620720d1dc059746
11,4615,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779587558,640,32,0,23cfb3d80d46fea325ce7449ddae0aea8f4881773d5e8a397599f3b795b32141
12,5307,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779587602,640,48,0,23cfb3d80d46fea325ce7449ddae0aea8f4881773d5e8a397599f3b795b32141
13,5999,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779589675,640,48,0,450dfbe52be2a21d51d471d52e09906bcaea011e7c664761e7f009bd53dfd77e
14,6691,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779589711,640,64,0,450dfbe52be2a21d51d471d52e09906bcaea011e7c664761e7f009bd53dfd77e
15,7383,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779591155,640,64,0,64a4c31ec108555cb9fc774c5b6a407c2f8c35dff7da7db55fd4c69a88771e80
16,8075,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779591186,640,80,0,64a4c31ec108555cb9fc774c5b6a407c2f8c35dff7da7db55fd4c69a88771e80
17,8767,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779592754,640,80,0,9040043f896d8dd5e9ca795fdb9aca98abbf73062a743c9ec4d8c81cbadbe38a
18,9459,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779592788,640,96,0,9040043f896d8dd5e9ca795fdb9aca98abbf73062a743c9ec4d8c81cbadbe38a
19,10151,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779594230,640,96,0,08bff3559d301d7d9aaeb25d8a3eee05372250fb22d77b875faa9c543e32d960
20,10843,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779594261,640,112,0,08bff3559d301d7d9aaeb25d8a3eee05372250fb22d77b875faa9c543e32d960
21,11535,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779595804,640,112,0,a4f840c494e1d0bb97f5e4fee3469c6979ba16e0f2661b151a8c2e834f4f43ea
22,12227,20,RANDMIX_PRE,2,MASTER_RNG,1044,1008,42779595839,640,128,0,a4f840c494e1d0bb97f5e4fee3469c6979ba16e0f2661b151a8c2e834f4f43ea
23,12919,21,RANDMIX_POST,2,MASTER_RNG,1044,1008,42779597404,640,128,0,a0d5476dc93208e4d5cfe3351c690bd03682e3e7fb37879c9a4be5fd1c5b1d60
