sequence,offset,event,event_name,phase,phase_name,pid,tid,qpc,data_len,aux0,aux1
1,0,1,INIT,0,NONE,1960,1964,136160974,0,0,0
2,52,60,FORMAT_PRIMARY_BEGIN,6,FORMAT,1960,1964,136357784,0,0,0
3,104,50,PASSWORD,1,HEADER,1960,1964,136357852,28,0,0
4,184,30,RANDGET_BEGIN,2,MASTER_RNG,1960,1964,136357899,0,64,1
5,236,31,RANDGET_POOL_PRE,2,MASTER_RNG,1960,1964,136357931,640,0,0
6,928,11,RANDADD_BUF,2,MASTER_RNG,1960,1964,136366185,232,0,0
7,1212,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136366220,640,0,0
8,1904,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136370488,640,0,0
9,2596,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136370543,640,16,0
10,3288,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136373025,640,16,0
11,3980,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136373080,640,32,0
12,4672,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136375466,640,32,0
13,5364,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136375519,640,48,0
14,6056,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136380207,640,48,0
15,6748,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136380268,640,64,0
16,7440,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136382581,640,64,0
17,8132,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136382624,640,80,0
18,8824,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136384376,640,80,0
19,9516,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136384410,640,96,0
20,10208,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136385981,640,96,0
21,10900,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136386017,640,112,0
22,11592,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136387587,640,112,0
23,12284,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136387620,640,128,0
24,12976,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136389129,640,128,0
25,13668,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136389162,640,144,0
26,14360,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136390610,640,144,0
27,15052,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136390641,640,160,0
28,15744,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136392162,640,160,0
29,16436,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136392232,640,176,0
30,17128,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136393680,640,176,0
31,17820,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136393711,640,192,0
32,18512,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136395159,640,192,0
33,19204,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136395190,640,208,0
34,19896,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136396730,640,208,0
35,20588,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136396768,640,224,0
36,21280,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136398219,640,224,0
37,21972,11,RANDADD_BUF,2,MASTER_RNG,1960,1964,136398467,88,232,0
38,22112,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136398500,640,240,0
39,22804,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136400076,640,240,0
40,23496,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136400110,640,256,0
41,24188,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136401561,640,256,0
42,24880,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136401601,640,272,0
43,25572,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136403142,640,272,0
44,26264,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136403176,640,288,0
45,26956,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136404623,640,288,0
46,27648,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136404654,640,304,0
47,28340,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136406164,640,304,0
48,29032,11,RANDADD_BUF,2,MASTER_RNG,1960,1964,136406370,88,320,0
49,29172,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136406405,640,320,0
50,29864,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136408254,640,320,0
51,30556,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136408297,640,336,0
52,31248,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136410223,640,336,0
53,31940,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136410264,640,352,0
54,32632,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136411795,640,352,0
55,33324,20,RANDMIX_PRE,2,MASTER_RNG,1960,1964,136411833,640,368,0
56,34016,21,RANDMIX_POST,2,MASTER_RNG,1960,1964,136413355,640,368,0
